"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"149",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.45,80
"150",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.5,80
"151",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.55,80
"152",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.6,80
"153",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.65,80
"154",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.7,80
"155",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.75,80
"156",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.8,80
"157",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.85,80
"158",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.9,80
"159",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.95,80
"160",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.975,80
"161",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"09","quantile",0.99,80
"162",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.01,82
"163",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.025,82
"164",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.05,82
"165",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.1,82
"166",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.15,82
"167",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.2,82
"168",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.25,82
"169",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.3,82
"170",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.35,82
